الجماال	الجمال
نوعع	نوع
لدولة	دولة
الازرق	الأخضر
أطفالنا	الأطفال
لكي	لكيلا
الابطين	الرقبة
تطلبين	تطلب
كره…	كره
،ٰبديع	بديع
حزينَ	حزين
جدًا	جدا
شهرر	شهر
ممتا…	ممتاز
ايآ	أيا
ينشئ	أنشأ
متفوقا	متفوق
ثنين	اثنين
لديكم	لدينا
النهر،	النهر
اللقطة	القفزة
آسم	إسم
ارض	أرض
تححمل	تحمل
عسـى	عسى
الأنيق،	الأنيق
لنا♥	لنا
مرة…	مرة
«إياكم	إياكم
أنتنّ	أنتن
ثانٍ	ثان
كذا؟	كذا
العصوية	الحشرة
‏قد	قد
الحشره	الحشرة
خلآ	خلا
الكتاب	كتاب
مراكز	مركز
مآء	ماء
قادرة…	قادرة
اولائك	أولئك
عﻻمة	علامة
بطآقة	بطاقة
خووف	خوف
الصندوق	صندوق
النآس	الناس
خائِف	خائف
عينَ	عين
سيجلب	جلبت
فقراء	فقير
كان	وكان
لمّس	لمس
الامة	الأمة
؟لئن	لئن
دخول…	دخول
منطقة	مدينة
ستوافق	توافق
زال	مازال
حافّة	حافة
سيحدث	حدث
،أو	أو
بحرمن	بحر
شاملة	شامل
الرجوع	الوصول
،نصف	نصف
كَيفما	كيفما
لديكم	لديه
مآدآم	مادام
حاااد	حاد
،ربما	ربما
ايا	أيا
الدم،،	الدم
الحمار	الكلب
مايزال	مازال
اﻻقل	الأقل
وحيده	وحيد
يعل	جعل
إسرة	عائلة
الفجوه	الفجوة
كلآ	كلا
الجواب…	الجواب
لطيفّ	لطيف
يبدا	بدأ
إذْ	إذ
أمّ	أم
‏​نحن	نحن
الانمائية	الرئيسية
لفرع	فرع
انّ	ان
متعارف	معتاد
ودفع	دفع
ٺلك	تلك
المُقبل	المقبل
مساءء	مساء
مككن	ممكن
وأصبح	أصبح
عقدتُ	عقدت
لبضع	بضع
رُكن	ركن
وبالنتيجة	وبالتالي
فخممم	فخم
وامتزاج	مزيج
ملـح	ملح
مصلحة…	مصلحة
سسمعت	سمعت
مقآبل	مقابل
الحاظر	الحاضر
شبهعليك	شبه
نسخا	نسخة
اشتري	اشترى
وكرر	كرر
ظهرا،	ظهرا
إِنَّ	إِنَّ
المزيلات	المعادن
الارطى	العشب
بمستوى	مستوى
أنَّى	أنّى
،تختلف	تختلف
وزهرة	زهرة
عُلبة	علبة
فمّ	فم
سهُولة	سهولة
الأنيقفي	الأنيق
خُطوة	خطوة
مؤسف	محزن
سيستغرق	استغرق
،اما	اما
مباشـر	مباشر
أراد…	أراد
خطابات	خطاب
قُرب	قرب
حاليًا	حاليا
امراة	فتاة
مشرقه	مشرق
تغير	تغيير
عمِيق	عميق
قوّي	قوي
آلرد	الرد
بميناء	ميناء
آلعكس	العكس
حَبَّذَا	حَبَّذَا
حياة…	حياة
الأم،	الأم
آمام	امام
بحل	حل
رمزٌ	رمز
والأفنان	ذواتا
يعتمد	تعتمد
حصولي	الحصول
كبير،	كبير
لقاءات	لقاء
البنجر	الذرة
خلفَ	خلف
،كانت	كانت
ولون	لون
شااااق	شاق
\/صالح	صالح
وعسى	عسى
السيروم	البخار
جزءا	جزء
المعنى…	المعنى
مآت	مات
،،،هي	هي
ححلم	حلم
خيااالي	خيالي
سابقا	السابق
،و	و
رملٍ	رمل
أناقـة	أناقة
واتجددله	حوالى
جديدة…	جديدة
شجرة	صخرة
العكسسس	العكس
ومنطقة	منطقة
المشهورة	الشهيرة
ضدد	ضد
إلىٰ	إلى
خلال…	خلال
فيالأرض	الأرض
بدااية	بداية
اصغي	استمع
إسم	اسم
هككذا	هكذا
السباق	سباق
بمصنع	مصنع
الأقماح	اللحوم
بأيخ	بايخ
دراسه	دراسة
هَادئ	هادئ
،أو	او
الجبل،	الجبل
آبقى	أبقى
أربگ	أربك
لفّة	لفة
العمل،	العمل
آلكل	الكل
بمكتب	مكتب
والتيار	التيار
لمآ	لما
رحلات	رحلة
،،يجب	يجب
بينقلب	انقلب
بشع	شنيع
مُروع	مروع
،على	على
مُذنب	مذنب
أثنين	اثنين
قُوة	قوة
حاصِل	حاصل
رحلة…	رحلة
وواضح	واضح
الامه	الأمة
رآقب	راقب
مرةً	مرة
تعرفي	تعرف
بِي	بي
نِعمَ	نِعْمَ
جداً	جدا
،ماعدا	عدا
》معطف	معطف
لنا💛	لنا
بأنّ	بان
حيُ	حي
آلحديث	الحديث
درج…	درجة
الورك	الرقبة
🌿زيت	زيت
ﺎلنهر	النهر
العآلم	العالم
جيدة	سيئة
جولة…	جولة
ﺎبيض	أبيض
المسليات	الفاكهة
جلل،	جلل
السلي…	السليم
همآ	هما
حالات	حالة
مككان	مكان
احد♥	احد
تظـهر	تظهر
بماذأ	بماذا
بمأ	بما
ألذين	اللذين
حَياة	حياة
اختيا…	اختيار
أنماط	نمط
باان	بان
‏استمع	استمع
ظمن	ضمن
كانت…	كانت
ابقا	أبقى
حقيقي،	حقيقي
الحشد_الشعبي	الحشد
بأخذ	أخذ
عقيم…	سقيم
الجبهات	الجبهة
الجليد…	الجليد
السولار	الغاز
آصبح	أصبح
كبييير	كبير
حصلنا	حصلت
المعني	المعنى
عده	عدة
​إذا	إذا
أبقىَ	أبقى
سوفَ	سوف
ناادم	نادم
اولئك	أولئك
فاشل	فاسد
ٺحتوي	تحتوي
فخم	فاخر
تُحقق	تحقق
وضييع	وضيع
الكﻻم	الكلام
سمعَ	سمع
ﺎلوقت	الوقت
‏لكي	لكي
ذيّ	ذِي
فطاع	قطاع
الثالثه	الثانية
مؤكد،	مؤكد
لكـ	لك
سههل	سهل
الاخيرة،	الاخيرة
وبذلك	وبالتالي
مديو…	مريض
القائمة	قائمة
بنا،	بنا
بارسال	إرسال
ذاااك	ذاك
مُحبّب	محبب
مُذهل	مذهل
اختباار	اختبار
مزبوط	مضبوط
مَّعَنَا	حَبَّذَا
سلسلة⁩	سلسلة
السوفياتية	الملكية
حفض	حفظ
الكثير”	الكثير
نظيف…	نظيف
كيفمّا	كيفما
واعتقد	اعتقد
غالبًا	غالبا
مسسكين	مسكين
حسـب	حسب
انخفاظ	ارتفاع
آما	أمّا
الوُقوف	الوقوف
،أيا	أيا
غضب،	غضب
قوةة	قوة
الحديثَ	الحديث
لي🌿	لي
ممتاااز	ممتاز
اما	إمّا
ماااات	مات
سرييييع	سريع
‏مسكين	مسكين
الرسالة،	الرسالة
أخت	أخ
رااائع	رائع
حصولهن	الحصول
مگتوبہ	مكتوبة
ثقيلة…	ثقيلة
التجارة	تجارة
وقطاع	قطاع
المعنىٰ	المعنى
موُجع	موجع
البلتاجي،	العشري
واما	اما
اللاتي	اللائي
بطاقت	بطاقة
حربا	حرب
يطلبون	تطلب
الأن	حاليا
الامر	الموضوع
اابيض	أبيض
الرابع	الثاني
سعيدة…	سعيدة
مگان	مكان
خارطة	خريطة
عـام	عام
أحكام	حكم
المثانة	الأنف
أهـل	أهل
‏لما	لما
آلجمال	الجمال
الصنفان	اللذان
مكانٍ	مكان
العالم؟	العالم
الجُلوس	الجلوس
عليه💙	عليه
إليكك	إليكَ
حلمم	حلم
نهايةة	نهاية
مالذي	بماذا
يآئس	يائس
القليّل	القليل
؛لن	لن
منحهم	منح
ماارسلت	أرسلت
ويابرى	بري
وزنكِ	الوزن
الوقحان	اللذان
ومكتب	مكتب
ومشهد	مشهد
بااطل	باطل
تصمي…	تصميم
المعنى،	المعنى
ملوك	ملك
عبور💛	عبور
الخنزير	الكلب
كرري	كرر
انشأ	أنشأ
وفِي	وفي
واثبات	إثبات
،،،بل	بل
“لماذا	لماذا
أنيـق	أنيق
أبيض،	أبيض
طار	يطير
لسحب	سحب
اللعب	لعب
،تذكر	تذكر
أحذية	حذاء
ملعووون	ملعون
و7	و6
تحملُ	تحمل
حارا	حار
بقرب	قرب
مُخجل	محزن
الفضا	الفضاء
اكتر	اكثر
‏أنت	أنت
عاام	عام
كرروا	كرر
وااكد	واوضح
ﺎلرد	الرد
إنَّما	إنّما
الاستقصائية	الصحافة
أعمدة	عمود
أرسال	إرسال
كى	لكي
انخفاظ	منخفض
مطر❤️	مطر
الباستل	الطلاء
بمذكرة	مذكرة
ضذ	ضد
الجدار	جدار
عااامة	عامة
قائلة	وقالت
فية	فيه
تّام	تام
في…	في
تقسيمهم	تقسيم
الخاصة…	الخاصة
ولاجناح	جناح
الكثير…	الكثير
واصبح	أصبح
سلڪ	سلك
حزيـن	حزين
اجمع	جمع
لمحطة	محطة
خير…	خير
آضحى	أضحى
إيحابي	إيجابي
بحجم	حجم
الكلفة	التكلفة
كانَت	كانت
باااايخ	بايخ
ارأد	رغب
كااااملة	كاملة
گوكب	كوكب
مسطلح	مصطلح
آول	اول
إكتشاف	اكتشاف
الربيع،	الربيع
لمسار	مسار
‏‏كل	كل
ارتدائك	ارتداء
أنتشار	انتشار
صغي…	صغير
الطود	الجبل
وفرع	فرع
المال…	المال
نتآج	نتاج
كيفماء	كيفما
لمسها	لمس
تفاحةة	تفاحة
مصنعين	منجم
القادم10	المقبل
عامة؟	عامة
لحل	حل
لكممم	لكم
اتصالات	اتصال
الفرحَ	الفرح
النقدي،	السليم
لَستُ	لَسْتُ
حفرھہ	حفرة
الصعود	الوصول
آلنفس	النفس
الخرافات؟	الضوضاء
أعادة	اعادة
كماآ	كما
خير💜	خير
هذاا	هذا
حلمٍ	حلم
وآن	وان
حآد	حاد
سكّة	سكة
أكتر	أكثر
أياكم	إياكم
فآن	فان
،جلب	جلب
الجبل	جبل
ومجلس	مجلس
مُشكلة	مشكلة
قادر	قادرة
“مجلس	مجلس
وجعل	جعل
واهي	وهي
بانه	انه
ابيض	أبيض
قووى	قوى
فخمممم	فخم
اكياس	كيس
ياجعل	جعل
شــَخْص	لَسْتُ
وتغيير	تغيير
تمثيلهم	تمثيل
قرى	قرية
أستعمال	استخدام
‏​فن	فن
السابق…	السابق
أَيَّامِ	لَيْسَتْ
ثمانون	عشرون
بسرعة،	بسرعة
🔴وكالة	لوكالة
،هي	هي
السؤآل	السؤال
إتاوة	غرامة
إذاأنفق	أنفق
‏إنما	إنّما
أدّى	أدى
الرقبه	الرقبة
بمّا	بما
غاز	الغاز
الصورة😊	القفزة
مُستغرب	معتاد
ولذا	وبالتالي
مايحسو	نحس
تُحوّل	تحوّل
ولحماية	حماية
ونوع	نوع
تفوّق	تفوق
وواسع	واسع
حـبل	حبل
عامة…	عامة
اَي	اي
استراحة_الرياض	استراحة
مسألة…	مسألة
ﺎلفرح	الفرح
وشرير	شرير
يُثقلنيهلّا	هلّا
اراد	أراد
تيين	تين
حينما	عندما
اللكل	الكل
هاادئ	هادئ
خارطه	خريطة
سيده	سيدة
المفهوم	المعنى
آمامك	أمامك
للانف	الأنف
به💙	به
عامود	عمود
لجلب	جلب
نمى	نما
راينبو	تين
الملوثات	الضوضاء
قاموا	قام
قيمته	قيمة
لبحيرة	بحيرة
خاطئ،	خاطئ
لتوفير	توفير
وخلف	خلف
الليل؟	الليل
المنحوووس	منحوس
وجـه	وجه
محبوبه	محبوب
عامم	عام
بآب	باب
قريتي	قرية
دائماا	دائما
‏لم	لم
سميّكك	سميك
ضئِيل	ضئيل
بااارد	بارد
جزءٌ	جزء
،ثمة	ثمّة
أينماا	حيثما
احرق	حرق
عقده…	عقد
خووورافي	خرافي
گتاب	كتاب
يحتوى	تحتوي
حَزين	حزين
ايّ	إي
الجانِب	الجانب
حاصـل	حاصل
إلاّ	إلّا
آسفه	آسف
أنشأنا	أنشأ
إليكم…	إليكم
أنشأوا	أنشأ
كربم	كريم
اجمع	أجمع
غضَب	غضب
مشرعة	مفتوحة
اياك	إياك
بَاب	باب
لارسال	إرسال
آسـف	آسف
بـال	بال
عُبور	عبور
ميتّ	ميت
وتتحدّث	وتحدث
مصحلة	مصلحة
القطار	قطار
فخخم	فخم
للشباب	الشباب
الاجواب	الجواب
اكدت	اكد
18شاهد	شاهد
أيّ	أي
“كرة	كرة
التظر	النظر
الفضاء؟	الفضاء
مزرعه	مزرعة
تهلكُني	تلكما
ألحان	لحن
تجاة	تجاه
_الناس	الناس
سمعت…	سمعت
بمنح	منح
طالب_	طالب
قدمنا	قدم
هاا	ها
ليّنة	لينة
طبيعي…	طبيعي
اين	أين
جُزء	جزء
جنونى	جنوني
بكنّ	بكن
ماسمع	سمع
هذآ	هَذا
وتمر	تمر
حسَّاس	حساس
•مادام	مادام
‏​صور	صور
مشررق	مشرق
بسفينة	سفينة
هياا	هيّا
“لكي	لكيلا
للتربة	التربة
ختر	اختر
واااا	وا
مانرهم	مغناطيس
هِنا	هنا
دوله	دولة
لربما	ربما
بقره	بقرة
مباراه	مباراة
طالبة	طالب
فكوكب	كوكب
القرن…	القرن
شكرآ	شكرا
گرسي	كرسي
أدی	أدى
تفوووق	تفوق
الأطفال…	الأطفال
فحدد	حدد
كاملة،	كاملة
وتجاه	تجاه
باااااارد	بارد
عضوة	عضو
الصندوق	البنك
لتسجيل	تسجيل
اﻻرقام	الأرقام
بالتالي	وبالتالي
ميزات	ميزة
عقيد	نقيب
مسساء	مساء
تقطة	نقطة
الضحك…	الضحك
وثقيلة	ثقيلة
صَديق	صديق
ظَهر	ظهر
لدي	لدينا
هم	هما
يحدد	حدد
ٺطلب	تطلب
قريب”	قريب
استثائي	استثنائي
أنييق	أنيق
السؤل	السؤال
لگن	لكن
اﻷرقام	الأرقام
لرحلة	رحلة
وحسن	حسن
مستوي	مستوى
وكرسي	كرسي
نِصف	نصف
كُرَب	كرب
أضافة	إضافة
بشگل	بشكل
فالصفحة	الصفحة
بعدم	عدم
…ومن	ومن
إشتعلت	اشتعلت
كذه	كذا
كرة	كره
،فوق	فوق
طلبت	تطلب
مُثلث	مثلث
خخير	خير
جندي…	جندي
مروّع	مروع
أيض…	أيضا
بشري؟	بشري
والحشد	الحشد
إنتشار	انتشار
التأريخ	التاريخ
لدية	لديه
ارجوا	الرجاء
المـوت	الموت
حكم	الحكم
الحگم	الحكم
الأكسجين…	الأكسجين
مُبتذل	مبتذل
تتلقي	تلقي
ألاول	الاول
تذكري	تذكر
آنتم	أنتم
،صديق	صديق
رمزا	رمز
اصابع	إصبع
فترةة	فترة
لبطاقة	بطاقة
الحملاوي	العشري
قاربها	قارب
أنتِي	أنتِ
أيد	يد
آكل	أكل
وهي…	وهي
إياها	إياه
الشديد	شديد
عامٍ	عام
سَبب	سبب
وسقط	سقط
لعييين	لعين
لسفينة	سفينة
ذرة	بذرة
اضمن	تضمن
الكاوية	الذهب
؟لماذا	لماذا
الصفحة…	الصفحة
اخذ	أخذ
ذاات	ذات
أُفٍّ	أُفٍّ
بألتاكيد	بالتأكيد
اليك	إليكَ
🍂سبحان	سبحان
ضحيتها	ضحية
اليومغدًا	اليوم
التجمعات	الحركة
⁰إذا	إذا
الخيال	خيالي
بتجربة	تجربة
يضمنوا	تضمن
صفقتي	صفقة
⁰ومن	ومن
أناا	أنا
قليل💔	قليل
نضام	نظام
الحجاز	الجنوب
جنوني…	جنوني
رآئحة	رائحة
اياااام	ايام
عليه”	عليه
مشكلة…	مشكلة
استمعو	استمع
وصفَ	وصف
اعلى	أعلى
الترقوه	الساق
جمميل	جميل
الحيوانات	الحيوان
ايجابي	سلبي
أنيق،	أنيق
الركبة	الساق
التی	التى
أعطىٰ	أعطى
ليّٺ	لَيْتَ
النار🙏	النار
رقيق،	رقيق
طاالب	طالب
الثانية	الاولى
وهاكَ	هاكَ
تااااام	تام
ماجيستير	امتياز
لهآ	لها
كذبةة	كذبة
ماأرسلتها	أرسلت
لي❤	لي
كذلك…	كذلك
أمامك،	أمامك
مفتاح…	مفتاح
بوصول	وصول
دآم	مادام
العدو…	العدو
فقيـر	فقير
هآآدئ	هادئ
انجاز	منجز
،اما	أمّا
‏خلف	خلف
المقعد	مقعد
سياراة	سيارة
🌹الذي	الذى
الكثيرمن	الكثير
دوننك	دوني
عاماً،	عاما
ثمّـة	ثمّة
واصبع	إصبع
نفسه…	نفسه
ذآت	ذات
الصمٺ	الصمت
محتااج	محتاج
مشرق،	مشرق
بداية	نهاية
الصّعب	الصعب
‏هكذا	هكذا
سعييدة	سعيدة
،،أحلا	الألاء
المشتتات	الضوضاء
تمامًا	تماما
خطوط	خط
العربيتان	اللتان
تعميم	توجيه
لاتريد	تريد
منحهن	منح
مضاعفة…	مضاعفة
الإسترليني	الجنيه
الموضوع…	الموضوع
فادارة	واضافت
التعريفة	التكلفة
و٦	و6
مُترف،	مترف
مظلمً	مظلم
سعيدهه	سعيدة
اختبآر	اختبار
،أنا	أنا
مزﻻج	مزلاج
المومياوات	الغابات
👈سبحان	سبحان
اقامة	إقامة
لقمہ	لقمة
مصالح	مصلحة
مركب	قارب
فسُرعان	سرعان
السلوكي	الذاتي
قائمه	قائمة
القسم،	القسم
سسماء	سماء
قلبّ	قلب
دي؟؟	ديك
قطآر	قطار
لهيومن	للامم
وهزيل	هزيل
ثالثا	رابعا
ممنّ	ممن
ظريف؟	ظريف
ببلد	بلد
النّظر	النظر
_عسى	عسى
رفيع…	رفيع
الإجابه	الجواب
تدعوالي	تعجبي
ارتفااع	الارتفاع
،أقبل	أقبل
﴿هاؤم	هاؤم
شمسٌ	شمس
دائر…	دائرة
لحرب	حرب
؛؛تلك	تلكم
حَتَّىٰ	حَتَّى
اﻷساسية	الأساسية
خير،،	خير
لنهائي	نهائي
السليم،	السليم
كيفمَا	كيفما
وخاصة	خاصة
طُول	طول
ﺎلعباره	العبارة
قدمه	قدم
ربماا	ربما
الأب	الأم
الدم…	الدم
ذاء	ذا
بالرقم	الرقم
صخرةً	صخرة
أوقف	وقف
،خلف	خلف
زووجة	زوجة
اسواق	سوق
لشمس	شمس
أجمعَ	أجمع
وابقى	أبقى
كرسى	كرسي
مفاجئه	مفاجأة
ثقيل	ثقيلة
گكل	ككل
الَّذين	الذين
آسفه	أسف
وفِ	وفي
آي	أيّ
ماخلاء	خلا
واحد…	واحد
،لمّا	لمّا
نَكَالًا	هَيْهَاتَ
نحنُ	نحن
له🌿	له
فوزهم	فوز
إلى	الى
ماهي	مهيب
هُنا	هنا
وحرق	حرق
مته	متى
كذلكـ	كذلك
صـار	صار
عجِّل	عجل
الاغاني	الغناء
مثلَّث	مثلث
حَتَّىٰ	حَتَّى
قصه	قصة
ناااعم	ناعم
بالقرن	القرن
جيد	رديء
مطر،	مطر
حصةة	حصة
بعيدآآ	بعيدا
منعطفٍ	منعطف
رائحت	رائحة
​طفل	طفل
لُقمه	لقمة
تلقيها	تلقي
ناعمم	ناعم
جنونيّ	جنوني
والحاضر	الحاضر
دفـع	دفع
بالتاكيد	بالتأكيد
غدأ	غدا
ﺎجل	اجل
ومن…	ومن
عجيب	رهيب
والرقم	الرقم
الخلّابة	الطبيعة
زوووج	زوج
ألشباب	الشباب
‏‏إذا	إذا
شقق	شقة
دراجة	سيارة
أيَّ	أيّ
قؤل	قول
مقرف	مريع
نادرفي	نادر
فمه	فم
محتـاج	محتاج
معّين	معين
مسكينمن	مسكين
أكدّ	اكد
بسس	بسّ
اينمآ	أينما
جميع…	جميع
بسيطه…	بسيطة
الأقـل	الأقل
ينشغل،	مشغول
الكثي…	الكثير
اقامه	إقامة
شنيع،	شنيع
لمثلث	مثلث
انخفاض	ارتفاع
مُحرك	محرك
حديد؟	حديد
اللاكتوز	السكر
لوصول	وصول
الظحك	الضحك
السبب	سبب
عل	على
الخاضه	الخاصة
مرحلي	مماثل
خطوهہ	خطوة
حاد،	حاد
أوراق	ورقة
وبناء	بناء
،،علم	علم
آمينْ	آمينَ
،فيما	فيما
مليح؟	مليح
سئالة	ظرافة
البترول	الطاقة
فمِ	فم
العين؟	العين
المشكلة	مشكلة
يشتري	اشترى
ناااااعم	ناعم
أحد	احد
الاكسجين	الأكسجين
الخاصة،	الخاصة
كئييب	كئيب
آنتظر	انتظر
حيثُ	حيث
اححد	احد
سهوله	سهولة
متأخر،	متأخر
المُسليان	اللذان
نتيجتها	النتيجة
‏حين	حين
​​يوم	يوم
صيحة	صرخة
جنةذات	ذواتا
عِد	عد
الامتياز	امتياز
خيالى	خيالي
حصولنا	الحصول
تثبيث	تشغيل
متآخر	متأخر
انضمامها	انضمام
أوشكوا	أوشك
اللذينَ	اللذين
قآدره	قادرة
باتت	بات
فـو	فو
خاصّة	خاصة
الزجاج	زجاج
وعقدت	عقدت
برس\/	برس
العكسس	العكس
مقاعد	مقعد
تلبيتها	تلبية
التجربه	التجربة
سميّـك	سميك
وقالي	وقالت
الحصة	حصة
الأولي	الاولى
إشعارٌ	إشعار
‏بعد	بعد
الاحترافى	المثالي
النار…	النار
صرخات	صرخة
جدآر	جدار
ۈصف	وصف
شخصاا	شخصا
فاتن،	فاتن
عشررر	عشر
مخزً	مخزي
سواءاً	سواء
فتنوي	نتن
بالموسم	الموسم
أسود	أبيض
ليكم	لكم
زهــرة	زهرة
نحسسهم	نحس
اللواتي	اللاتي
همّ	هم
الأقلّ	الأقل
يسمح	سمح
صيحةٍ	صيحة
الاعلام	الصحافة
ﷺإياكم	إياكم
خكم	حكم
وخائن،	جائر
يضرب	ضرب
الثانية…	الثانية
فاااخر	فاخر
سيفينتين	تين
السمك	سمك
يسمع	سمع
الأنثوي	الرقيق
الفرحة	الفرح
آلبعض	البعض
لهاا	لها
فقدٺ	فقدت
قدم…	قدم
مززعج	مزعج
اسفه	آسف
؟عد	عد
اوف	اف
قَطّ	قطّ
بطرح	طرح
خاطأ	خاطئ
بمشهد	مشهد
عاماً…	عاما
أيآ	أيا
،ولا	ولا
وشرع	شرع
اختلفت	تختلف
الأسنان…	أسنان
توقّف	توقف
ألكلام	الكلام
اﻷنيق	الأنيق
أنشودة	قصيدة
والموسيقى	الموسيقى
الأورينت	الجزيرة
عسي…	عسير
العين…	العين
،جناح	جناح
تحتّ	تحت
الأساسية،	الأساسية
،أولئك	أولئك
شيء💜	شيء
ومقِيول	وَيْ
إنجاز	منجز
هناا	هنا
ملاسنة	مطاردة
مخجل	مؤسف
قواعد	قاعدة
أنَّى	أنّى
�من	من
🌹عجل	عجل
ساحه	ساحة
ككَل	ككل
عقود	عقد
شرير	خبيث
بسلسلة	سلسلة
قدييييم	قديم
لقطار	قطار
محزن	مؤسف
اللاتى	اللاتي
أياك	إياك
المتسبب	السبب
كلاهُما	كلاهما
مُنجز	منجز
صووت	صوت
تقنية_التعليم	تعليم
اليمٌ	أليم
فرقةة	فرقة
تقاطع	شارع
حتا	حتى
قاطع،	قاطع
رجـل	رجل
المٌقبل	المقبل
فى	في
لايجب	يجب
مؤهلة	آمنة
مايحدث	يحدث
ضدهم	ضد
رُبَ	رُبَّ
على…	على
وغالبا	غالبا
لكمم	لكم
سيّدة	سيدة
هناگ	هناك
نقي	نظيف
ومدينة	مدينة
خمسة	ثلاثة
متل	مثل
احتاج	محتاج
‏​تخيل	تخيل
إثار	أثار
بعيّد	بعيد
الى…	الى
لها،	لها
للبخار	البخار
وشارف	أوشك
عادّ	عاد
مكتوبہ	مكتوبة
ضربات	ضربة
الحارة،	الحارة
منہا	منها
تلبيه	تلبية
للحق	الحق
قزاز	زجاج
“ثمة	ثمّة
منأجل	أجل
وأكد	واكد
ستة	عشرة
لحجم	حجم
والمائية	التربة
تربد	تريد
السليم…	السليم
دونكك	دونك
لقيادة	قيادة
بالتربة	التربة
بقيةة	بقية
بالضبط…	بالضبط
الصحراء	صحراء
قووووي	قوي
الأساسيه	الأساسية
،هما	هما
مثااال	مثال
ملگة	ملكة
سَمعت	سمعت
النار💜	النار
وشمس	شمس
سكه	سكة
إيَّاك	إياك
اللوآتي	اللواتي
‏الصمت	الصمت
خفض	رفع
مرغ…	مرغوب
اخ	أخ
المساعده	مساعدة
شخصآ	شخصا
الاصلي	الأصلي
لمَّا	لمّا
ادخال	إرسال
مخطوطتان	اللتان
دائما…	دائما
رسالتة	الرسالة
بمحصول	محصول
دقيقةة	دقيقة
سااعه	ساعة
الموسم…	الموسم
گمال	كمال
بلاشك	بالتأكيد
التاسع	الثالث
،سريع	سريع
خطه	خطة
